id,kodas,name
darbo_kodas_337, 142002,Mažmeninės prekybos padalinio vadovas
darbo_kodas_338, 142003,Didmeninės prekybos padalinio vadovas
darbo_kodas_339, 142004,Veterinarijos vaistinės vedėjas
darbo_kodas_340, 142005,Mažosios mažmeninės prekybos įmonės vadovas
darbo_kodas_341, 142006,Mažosios didmeninės prekybos įmonės vadovas
darbo_kodas_342, 142007,Vaistinės direktorius [vedėjas]
darbo_kodas_343, 143,Kitų paslaugų srities vadovai
darbo_kodas_344, 1431,"Sporto, laisvalaikio ir kultūros įstaigų vadovai"
darbo_kodas_345, 143101,Stadiono direktorius
darbo_kodas_346, 143102,"Kino [fotografijos, meno, reklamos] studijos direktorius"
darbo_kodas_347, 143103,Teatro direktorius
darbo_kodas_348, 143104,Kino teatro direktorius
darbo_kodas_349, 143105,Televizijos [radijo] direktorius
darbo_kodas_350, 143106,"Santuokų [kultūros, sporto, jaunimo] rūmų direktorius"
darbo_kodas_351, 143107,Vyriausiasis treneris
darbo_kodas_352, 143108,Vyriausiasis režisierius
darbo_kodas_353, 143109,Radijo programų direktorius
darbo_kodas_354, 143110,Poilsio padalinio vadovas
darbo_kodas_355, 143111,"Sporto įstaigos [mokyklos, klubo, centro, bazės] padalinio vadovas"
darbo_kodas_356, 143112,Klubo direktorius [vedėjas]
darbo_kodas_357, 143113,Orkestro vadovas
darbo_kodas_358, 143114,Televizijos programų skyriaus direktorius
darbo_kodas_359, 143115,Vyriausiasis laikraščio [žurnalo] redaktorius
darbo_kodas_360, 143116,Atsakingasis sekretorius
darbo_kodas_361, 143117,Vyriausiasis kino studijos redaktorius
darbo_kodas_362, 143118,"Mažosios kultūros įstaigos vadovas (išskyrus muziejų, meno galeriją, biblioteką)"
darbo_kodas_363, 143119,Lošimo namų vadovas
darbo_kodas_364, 143120,Sporto centro vadovas
darbo_kodas_365, 143121,Mažosios sporto įstaigos vadovas
darbo_kodas_366, 143122,Meno vadovas
darbo_kodas_367, 143123,Poilsio ir pramogų parko vadovas
darbo_kodas_368, 1439,Kitur nepriskirti paslaugų srities vadovai
darbo_kodas_369, 143901,Aukciono direktorius
darbo_kodas_370, 143902,Kontaktų centro vadovas
darbo_kodas_371, 143903,Observatorijos vadovas
darbo_kodas_372, 143904,Kelionių padalinio vadovas
darbo_kodas_373, 143905,Mažosios turizmo įmonės vadovas
darbo_kodas_374, 143906,Konferencijų centro direktorius
darbo_kodas_375, 143907,Kelionių agentūros direktorius
darbo_kodas_376, 2,Specialistai
darbo_kodas_377, 21,Fizinių mokslų ir inžinerijos specialistai
darbo_kodas_378, 211,Fizinių mokslų specialistai
darbo_kodas_379, 2111,Fizikai ir astronomai
darbo_kodas_380, 211101,Aerodinamikas
darbo_kodas_381, 211102,Astronomas
darbo_kodas_382, 211103,Radioastronomas
darbo_kodas_383, 211104,Astrofizikas
darbo_kodas_384, 211105,Balistikas
darbo_kodas_385, 211106,Hidrodinamikas
darbo_kodas_386, 211107,Fizikas
darbo_kodas_387, 211108,Akustikos fizikas
darbo_kodas_388, 211109,Astronomijos fizikas
darbo_kodas_389, 211110,Atomo fizikas
darbo_kodas_390, 211111,Balistikos fizikas
darbo_kodas_391, 211112,Elektros ir magnetizmo fizikas
darbo_kodas_392, 211113,Elektronikos fizikas
darbo_kodas_393, 211114,Šilumos fizikas
darbo_kodas_394, 211115,Hidrodinamikos fizikas
darbo_kodas_395, 211116,Šviesos fizikas
darbo_kodas_396, 211117,Mechanikos fizikas
darbo_kodas_397, 211118,Fizikas {molekulinė fizika}
darbo_kodas_398, 211119,Branduolio fizikas
darbo_kodas_399, 211120,Optikos fizikas
darbo_kodas_400, 211121,Puslaidininkių fizikas
darbo_kodas_401, 211122,Kietojo kūno fizikas
darbo_kodas_402, 211123,Garso fizikas
darbo_kodas_403, 211124,Fizikas teoretikas
darbo_kodas_404, 211125,Termodinamikos fizikas
darbo_kodas_405, 211126,Reologas
darbo_kodas_406, 211127,Termodinamikas
darbo_kodas_407, 211128,Hidroakustikas
darbo_kodas_408, 211129,"Mokslo darbuotojas {fizika, astronomija}"
darbo_kodas_409, 211130,Nanotechnologijų fizikas
darbo_kodas_410, 211131,Medicinos fizikas
darbo_kodas_411, 2112,Meteorologai
darbo_kodas_412, 211201,Klimatologas
darbo_kodas_413, 211202,Sinoptikas
darbo_kodas_414, 211203,Meteorologas
darbo_kodas_415, 211204,Meteorologas klimatologas
darbo_kodas_416, 211205,Orų prognozės meteorologas
darbo_kodas_417, 211206,Mokslo darbuotojas {meteorologija}
darbo_kodas_418, 2113,Chemikai
darbo_kodas_419, 211301,Chemikas
darbo_kodas_420, 211302,Chemikas {analizinė chemija}
darbo_kodas_421, 211303,Korozijos chemikas
darbo_kodas_422, 211304,Kristalografijos chemikas
darbo_kodas_423, 211305,Ploviklių chemikas
darbo_kodas_424, 211306,Dažiklių chemikas
