id,kodas,name
darbo_kodas_135, 613,3 - Kultūrinių augalų ir gyvūnų augintojai
darbo_kodas_136, 621,1 - Miškų ūkio ir giminiškų profesijų darbuotojai
darbo_kodas_137, 622,2 - Žvejai ir medžiotojai
darbo_kodas_138, 631,1 - Natūraliojo ūkio kultūrinių augalų augintojai
darbo_kodas_139, 632,2 - Natūraliojo ūkio gyvulių augintojai
darbo_kodas_140, 633,3 - Mišriojo natūraliojo ūkio kultūrinių augalų ir gyvulių augintojai
darbo_kodas_141, 634,"4 - Natūraliojo ūkio žvejai, miško gėrybių ir vaistažolių rinkėjai"
darbo_kodas_142, 711,1 - Statybininkai montuotojai ir giminiškų profesijų darbininkai
darbo_kodas_143, 712,2 - Statybininkai apdailininkai ir giminiškų profesijų darbininkai
darbo_kodas_144, 713,"3 - Dažytojai, statybinių konstrukcijų valytojai ir giminiškų profesijų darbininkai"
darbo_kodas_145, 721,"1 - Skardininkai, metalinių konstrukcijų montuotojai, metalo liejikai, suvirintojai ir giminiškų profesijų darbininkai"
darbo_kodas_146, 722,"2 - Kalviai, įrankininkai ir giminiškų profesijų darbininkai"
darbo_kodas_147, 723,3 - Mašinų mechanikai ir taisytojai
darbo_kodas_148, 731,1 - Amatininkai
darbo_kodas_149, 732,2 - Spausdinimo darbininkai
darbo_kodas_150, 741,1 - Elektros įrangos įrengėjai ir taisytojai
darbo_kodas_151, 742,2 - Elektroninės ir telekomunikacijų įrangos įrengėjai ir taisytojai
darbo_kodas_152, 751,1 - Maisto gamintojai ir giminiškų profesijų darbininkai
darbo_kodas_153, 752,"2 - Medienos meistrai, baldžiai ir giminiškų profesijų darbininkai"
darbo_kodas_154, 753,3 - Siuvėjai ir giminiškų profesijų darbininkai
darbo_kodas_155, 754,4 - Kiti kvalifikuoti darbininkai ir amatininkai
darbo_kodas_156, 811,1 - Kasybos ir rūdų apdorojimo įrenginių operatoriai
darbo_kodas_157, 812,2 - Metalų apdirbimo ir poliravimo įrenginių operatoriai
darbo_kodas_158, 813,3 - Chemijos ir fotografijos gaminių gamybos įrenginių ir mašinų operatoriai
darbo_kodas_159, 814,"4 - Guminių, plastikinių ir popierinių gaminių gamybos mašinų operatoriai"
darbo_kodas_160, 815,"5 - Tekstilės, kailio ir odos gaminių gamybos mašinų operatoriai"
darbo_kodas_161, 816,6 - Maisto ir panašių produktų gamybos mašinų operatoriai
darbo_kodas_162, 817,7 - Medienos apdirbimo ir popieriaus gamybos įrenginių operatoriai
darbo_kodas_163, 818,8 - Kiti stacionariųjų įrenginių ir mašinų operatoriai
darbo_kodas_164, 821,1 - Surinkėjai
darbo_kodas_165, 831,1 - Lokomotyvų mašinistai ir giminiškų profesijų darbininkai
darbo_kodas_166, 832,"2 - Lengvųjų automobilių, furgonų ir motociklų vairuotojai"
darbo_kodas_167, 833,3 - Sunkiasvorių sunkvežimių ir autobusų vairuotojai
darbo_kodas_168, 834,4 - Judamųjų įrenginių operatoriai
darbo_kodas_169, 835,5 - Laivų įgulų nariai ir giminiškų profesijų darbininkai
darbo_kodas_170, 911,"1 - Namų, viešbučių ir biurų valytojai, kambarinės ir pagalbininkai"
