id,date,name
l10n_lt_payroll.2022_11_02,2022-11-02,Mirusiųjų atminimo (Vėlinių) dieną
l10n_lt_payroll.2022_12_24,2022-12-24,Šv. Kūčios
l10n_lt_payroll.2022_12_25,2022-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2022_12_26,2022-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2023_01_01,2023-01-01,Naujųjų metų diena
l10n_lt_payroll.2023_02_16,2023-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2023_03_11,2023-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2023_04_09,2023-04-09,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2023_04_10,2023-04-10,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2023_05_01,2023-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2023_05_07,2023-05-07,Motinos diena
l10n_lt_payroll.2023_06_24,2023-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2023_07_06,2023-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2023_08_15,2023-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2023_11_01,2023-11-01,Visų Šventųjų diena
l10n_lt_payroll.2023_11_02,2023-11-02,Mirusiųjų atminimo (Vėlinių) dieną
l10n_lt_payroll.2023_12_24,2023-12-24,Šv. Kūčios
l10n_lt_payroll.2023_12_25,2023-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2023_12_26,2023-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2024_01_01,2024-01-01,Naujųjų metų diena
l10n_lt_payroll.2024_02_16,2024-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2024_03_11,2024-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2024_03_31,2024-03-31,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2024_04_01,2024-04-01,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2024_05_01,2024-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2024_05_05,2024-05-05,Motinos diena
l10n_lt_payroll.2024_06_24,2024-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2024_07_06,2024-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2024_08_15,2024-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2024_11_01,2024-11-01,Visų Šventųjų diena
l10n_lt_payroll.2024_11_02,2024-11-02,Mirusiųjų atminimo (Vėlinių) dieną
l10n_lt_payroll.2024_12_24,2024-12-24,Šv. Kūčios
l10n_lt_payroll.2024_12_25,2024-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2024_12_26,2024-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2025_01_01,2025-01-01,Naujųjų metų diena
l10n_lt_payroll.2025_02_16,2025-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2025_03_11,2025-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2025_04_20,2025-04-20,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2025_04_21,2025-04-21,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
