id,account_ids/id,excluded_account_ids/id
sl_general_report.b1_report41,"l10n_lt.1_account_337,l10n_lt.account_account_37",
sl_general_report.b1_report42,"l10n_lt.account_account_39,l10n_lt.account_account_40",
sl_general_report.b1_report43,l10n_lt.account_account_39,
sl_general_report.b1_report44,l10n_lt.account_account_40,
sl_general_report.b1_report45,l10n_lt.account_account_41,
sl_general_report.b1_report46,l10n_lt.account_account_42,
sl_general_report.b1_report47,"l10n_lt.1_account_344,l10n_lt.1_account_363,l10n_lt.1_account_340,l10n_lt.1_account_406",
sl_general_report.b1_report48,"l10n_lt.1_account_344,l10n_lt.1_account_340,l10n_lt.1_account_406",
sl_general_report.b1_report49,"l10n_lt.1_account_345,l10n_lt.1_account_350,l10n_lt.1_account_353,l10n_lt.1_account_356,l10n_lt.1_account_357,l10n_lt.1_account_358,l10n_lt.1_account_361",
sl_general_report.b1_report50,"l10n_lt.1_account_362,l10n_lt.1_account_340,l10n_lt.1_account_406",
sl_general_report.b1_report51,l10n_lt.1_account_363,
sl_general_report.b1_report52,"l10n_lt.1_account_364,l10n_lt.1_account_370,l10n_lt.1_account_385",
sl_general_report.b1_report53,"l10n_lt.1_account_380,l10n_lt.1_account_381,l10n_lt.1_account_384",
sl_general_report.b1_report54,l10n_lt.1_account_377,
sl_general_report.b1_report55,l10n_lt.1_account_374,
sl_general_report.b1_report56,l10n_lt.1_account_388,
sl_general_report.b1_report57,l10n_lt.1_account_394,
sl_general_report.b1_report58,"l10n_lt.1_account_304,l10n_lt.1_account_336,l10n_lt.1_account_409,l10n_lt.1_account_435",
sl_general_report.balansas11,,
sl_general_report.b11_report1,,
sl_general_report.b11_report2,l10n_lt.1_account_1,
sl_general_report.b11_report3,"l10n_lt.1_account_2,l10n_lt.1_account_15,l10n_lt.1_account_11,l10n_lt.1_account_19,l10n_lt.1_account_3,l10n_lt.1_account_7,l10n_lt.1_account_23",
sl_general_report.b11_report4,"l10n_lt.1_account_24,l10n_lt.1_account_155,l10n_lt.1_account_25,l10n_lt.1_account_29,l10n_lt.1_account_36,l10n_lt.1_account_43,l10n_lt.1_account_50,l10n_lt.1_account_67,l10n_lt.1_account_73,l10n_lt.1_account_80,l10n_lt.account_account_1,l10n_lt.1_account_57,l10n_lt.1_account_155",
sl_general_report.b11_report5,l10n_lt.1_account_87,
sl_general_report.b11_report6,l10n_lt.1_account_155,
sl_general_report.b11_report7,l10n_lt.1_account_175,
sl_general_report.b11_report8,"l10n_lt.1_account_176,l10n_lt.1_account_177,l10n_lt.1_account_189,l10n_lt.1_account_194,l10n_lt.1_account_199,l10n_lt.1_account_213,l10n_lt.1_account_216,l10n_lt.1_account_223,l10n_lt.1_account_219,l10n_lt.1_account_182",
sl_general_report.b11_report9,"l10n_lt.1_account_227,l10n_lt.1_account_228,l10n_lt.1_account_238,l10n_lt.1_account_231,l10n_lt.1_account_241",
sl_general_report.b11_report10,"l10n_lt.1_account_224,l10n_lt.1_account_262,l10n_lt.1_account_301",
sl_general_report.b11_report11,l10n_lt.1_account_295,
sl_general_report.b11_report12,"l10n_lt.1_account_1,l10n_lt.1_account_175",
sl_general_report.b11_report13,"l10n_lt.1_account_304,l10n_lt.1_account_409,l10n_lt.1_account_435",l10n_lt.account_account_36
sl_general_report.b11_report14,l10n_lt.1_account_305,
sl_general_report.b11_report15,"l10n_lt.1_account_319,l10n_lt.1_account_318,l10n_lt.1_account_322",
sl_general_report.b11_report16,,
sl_general_report.b11_report17,"l10n_lt.1_account_326,l10n_lt.1_account_409,l10n_lt.1_account_435,l10n_lt.1_account_335,l10n_lt.1_account_327,l10n_lt.1_account_330",
sl_general_report.b11_report18,"l10n_lt.1_account_337,l10n_lt.account_account_36,l10n_lt.account_account_37,l10n_lt.account_account_39,l10n_lt.account_account_40,l10n_lt.account_account_41,l10n_lt.account_account_42",
sl_general_report.b11_report19,"l10n_lt.1_account_344,l10n_lt.1_account_363,l10n_lt.1_account_340,l10n_lt.1_account_406",
sl_general_report.b11_report20,"l10n_lt.1_account_344,l10n_lt.1_account_340,l10n_lt.1_account_406,l10n_lt.1_account_345,l10n_lt.1_account_350,l10n_lt.1_account_353,l10n_lt.1_account_356,l10n_lt.1_account_357,l10n_lt.1_account_358,l10n_lt.1_account_361,l10n_lt.1_account_362",
sl_general_report.b11_report21,"l10n_lt.1_account_363,l10n_lt.1_account_364,l10n_lt.1_account_370,l10n_lt.1_account_385,l10n_lt.1_account_380,l10n_lt.1_account_381,l10n_lt.1_account_384,l10n_lt.1_account_377,l10n_lt.1_account_374,l10n_lt.1_account_388,l10n_lt.1_account_394",
sl_general_report.b11_report22,"l10n_lt.1_account_304,l10n_lt.1_account_336,l10n_lt.1_account_409,l10n_lt.1_account_435",
sl_general_report.pelnas1,,
