id,code,name,active
evrk_C141320,C141320,Moteriškų viršutinių drabužių siuvimas,TRUE
evrk_C141400,C141400,Apatinių drabužių siuvimas,TRUE
evrk_C141900,C141900,Kitų drabužių siuvimas ir drabužių priedų gamyba,TRUE
evrk_C141910,C141910,Vaiko drabužėlių siuvimas,TRUE
evrk_C141920,C141920,Sportinės aprangos siuvimas,TRUE
evrk_C141930,C141930,Kailinių kepurių ir kitų galvos apdangalų gamyba,TRUE
evrk_C142000,C142000,Kailinių dirbinių ir gaminių gamyba,TRUE
evrk_C142000,C142000,Kailinių dirbinių ir gaminių gamyba,TRUE
evrk_C143000,C143000,Megztų (trikotažinių) ir nertų drabužių gamyba,TRUE
evrk_C143100,C143100,"Pėdkelnių, triko, kojinių ir kitų panašių megztų (trikotažinių) ir nertų gaminių bei dirbinių gamyba",TRUE
evrk_C143900,C143900,Kitų megztų (trikotažinių) ir nertų drabužių gamyba,TRUE
evrk_C150000,C150000,Odos ir odos dirbinių gamyba,TRUE
evrk_C151000,C151000,"Odų rauginimas ir išdirbimas; lagaminų, rankinių, balno reikmenų ir pakinktų gamyba; kailių išdirbimas ir dažymas",TRUE
evrk_C151100,C151100,Odų rauginimas ir išdirbimas; kailių išdirbimas ir dažymas,TRUE
evrk_C151110,C151110,"Odų rauginimas, naudojant augalines medžiagas",TRUE
evrk_C151120,C151120,"Odų rauginimas, naudojant mineralines ir chemines medžiagas",TRUE
evrk_C151130,C151130,Odų išdirbimas,TRUE
evrk_C151200,C151200,"Lagaminų, rankinių ir panašių reikmenų, balno reikmenų ir pakinktų gamyba",TRUE
evrk_C152000,C152000,Avalynės gamyba,TRUE
evrk_C152000,C152000,Avalynės gamyba,TRUE
evrk_C160000,C160000,"Medienos bei medienos ir kamštienos gaminių, išskyrus baldus, gamyba; gaminių iš šiaudų ir pynimo medžiagų gamyba",TRUE
evrk_C161000,C161000,Medienos pjaustymas ir obliavimas,TRUE
evrk_C161000,C161000,Medienos pjaustymas ir obliavimas,TRUE
evrk_C161010,C161010,Cheminis medienos apdorojimas konservantais,TRUE
evrk_C162000,C162000,"Gaminių ir dirbinių iš medienos, kamštienos, šiaudų ir pynimo medžiagų gamyba",TRUE
evrk_C162100,C162100,Faneravimo dangos ir medienos plokščių gamyba,TRUE
evrk_C162110,C162110,"Medienos plaušo plokščių, padengtų dekoratyvine plėvele, gamyba",TRUE
evrk_C162120,C162120,Presuotos medienos gamyba,TRUE
evrk_C162200,C162200,Sumontuotų parketo grindų gamyba,TRUE
evrk_C162300,C162300,Kitų statybinių dailidžių ir stalių dirbinių gamyba,TRUE
evrk_C162310,C162310,Fasoninių detalių ir malksnų (gontų) stogų dengimui gamyba,TRUE
evrk_C162320,C162320,Medinių surenkamųjų statinių ar jų detalių gamyba,TRUE
evrk_C162330,C162330,Medinių sieninių plokščių ir spintų gamyba,TRUE
evrk_C162400,C162400,Medinės taros gamyba,TRUE
evrk_C162410,C162410,"Padėklų, stovų ir kitų medinių pakrovimo reikmenų gamyba",TRUE
evrk_C162900,C162900,"Kitų medienos gaminių gamyba; dirbinių iš kamštienos, šiaudų ir pynimo medžiagų gamyba",TRUE
evrk_C170000,C170000,Popieriaus ir popieriaus gaminių gamyba,TRUE
evrk_C171000,C171000,"Plaušienos, popieriaus ir kartono gamyba",TRUE
evrk_C171100,C171100,Plaušienos gamyba,TRUE
evrk_C171200,C171200,Popieriaus ir kartono gamyba,TRUE
evrk_C172000,C172000,Popieriaus ir kartoninių gaminių gamyba,TRUE
evrk_C172100,C172100,Gofruotojo popieriaus ir kartono bei taros iš popieriaus ir kartono gamyba,TRUE
evrk_C172200,C172200,Buitinių ir higienos reikmenų bei tualeto reikmenų gamyba,TRUE
evrk_C172210,C172210,Tualetinio popieriaus gamyba,TRUE
evrk_C172300,C172300,Popierinių raštinės reikmenų gamyba,TRUE
